         149578 function calls (145313 primitive calls) in 47.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    467/1    0.001    0.000   47.245   47.245 {built-in method builtins.exec}
        1    0.000    0.000   47.245   47.245 transforma.py:1(<module>)
        1    0.022    0.022   45.963   45.963 interp.py:23(__call__)
        1    9.380    9.380   45.941   45.941 interp.py:125(bicubica)
       32    8.040    0.251   23.578    0.737 interp.py:138(R)
      128   15.536    0.121   15.538    0.121 interp.py:130(Pe3)
       16   12.440    0.777   12.440    0.777 idx.py:75(acesso)
        1    0.000    0.000    0.686    0.686 inout.py:77(imgwrite)
        1    0.686    0.686    0.686    0.686 {imwrite}
        1    0.002    0.002    0.343    0.343 transforma.py:60(transformacao)
        1    0.252    0.252    0.305    0.305 interp.py:61(asimg)
    75/57    0.248    0.003    0.251    0.004 {built-in method numpy.core._multiarray_umath.implement_array_function}
        8    0.092    0.012    0.248    0.031 idx.py:39(aplica)
        1    0.168    0.168    0.236    0.236 interp.py:77(modf)
       17    0.001    0.000    0.217    0.013 __init__.py:1(<module>)
    205/7    0.001    0.000    0.209    0.030 <frozen importlib._bootstrap>:1002(_find_and_load)
    202/7    0.001    0.000    0.208    0.030 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    191/8    0.001    0.000    0.208    0.026 <frozen importlib._bootstrap>:659(_load_unlocked)
    149/8    0.000    0.000    0.208    0.026 <frozen importlib._bootstrap_external>:784(exec_module)
    283/8    0.000    0.000    0.207    0.026 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        8    0.000    0.000    0.156    0.019 <__array_function__ internals>:2(tensordot)
        8    0.000    0.000    0.156    0.019 numeric.py:916(tensordot)
        8    0.000    0.000    0.156    0.019 <__array_function__ internals>:2(dot)
        1    0.000    0.000    0.121    0.121 args.py:1(<module>)
       24    0.121    0.005    0.121    0.005 {method 'astype' of 'numpy.ndarray' objects}
   207/33    0.000    0.000    0.109    0.003 <frozen importlib._bootstrap>:1033(_handle_fromlist)
   329/14    0.000    0.000    0.108    0.008 {built-in method builtins.__import__}
        1    0.000    0.000    0.093    0.093 idx.py:9(indices)
  190/187    0.000    0.000    0.089    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
    37/35    0.000    0.000    0.086    0.002 <frozen importlib._bootstrap_external>:1106(create_module)
    37/35    0.085    0.002    0.086    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.081    0.081 tipos.py:1(<module>)
        1    0.000    0.000    0.077    0.077 inout.py:1(<module>)
        1    0.000    0.000    0.070    0.070 <__array_function__ internals>:2(stack)
        1    0.000    0.000    0.070    0.070 shape_base.py:358(stack)
        2    0.000    0.000    0.070    0.035 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.043    0.043 args.py:22(parse_intermixed_args)
        1    0.000    0.000    0.043    0.043 argparse.py:2328(parse_intermixed_args)
        1    0.000    0.000    0.043    0.043 argparse.py:2335(parse_known_intermixed_args)
        2    0.000    0.000    0.042    0.021 argparse.py:1824(parse_known_args)
        2    0.000    0.000    0.042    0.021 argparse.py:1863(_parse_known_args)
        3    0.000    0.000    0.041    0.014 argparse.py:2008(consume_positionals)
        8    0.000    0.000    0.041    0.005 argparse.py:1910(take_action)
        8    0.000    0.000    0.041    0.005 argparse.py:2412(_get_values)
        7    0.000    0.000    0.041    0.006 argparse.py:2468(_get_value)
        1    0.000    0.000    0.041    0.041 args.py:50(imagem)
        1    0.000    0.000    0.041    0.041 inout.py:41(decode)
        1    0.041    0.041    0.041    0.041 {imdecode}
        1    0.000    0.000    0.025    0.025 rcsetup.py:1(<module>)
        2    0.000    0.000    0.022    0.011 numeric.py:144(ones)
        2    0.000    0.000    0.022    0.011 <__array_function__ internals>:2(copyto)
      149    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:856(get_code)
      316    0.001    0.000    0.021    0.000 overrides.py:166(decorator)
        1    0.000    0.000    0.019    0.019 fontconfig_pattern.py:1(<module>)
      431    0.001    0.000    0.019    0.000 re.py:289(_compile)
  462/433    0.005    0.000    0.018    0.000 {built-in method builtins.__build_class__}
       89    0.000    0.000    0.018    0.000 sre_compile.py:759(compile)
       81    0.000    0.000    0.017    0.000 re.py:250(compile)
        1    0.000    0.000    0.016    0.016 pyparsing.py:27(<module>)
      325    0.013    0.000    0.013    0.000 {built-in method builtins.compile}
      199    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      149    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
      149    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
      195    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1341(find_spec)
       89    0.000    0.000    0.010    0.000 sre_parse.py:937(parse)
      195    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
   218/89    0.001    0.000    0.010    0.000 sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.010    0.010 overrides.py:1(<module>)
   269/97    0.004    0.000    0.010    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.009    0.009 _internal.py:1(<module>)
      412    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
        1    0.000    0.000    0.008    0.008 index_tricks.py:1(<module>)
        1    0.000    0.000    0.007    0.007 pyparsing.py:6398(pyparsing_common)
        1    0.000    0.000    0.007    0.007 numeric.py:1(<module>)
       89    0.000    0.000    0.007    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.007    0.007 _pickle.py:1(<module>)
    37/27    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1114(exec_module)
    37/27    0.001    0.000    0.006    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.006    0.006 platform.py:3(<module>)
      290    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:976(get_data)
       27    0.000    0.000    0.005    0.000 pyparsing.py:3294(__init__)
        2    0.000    0.000    0.005    0.003 shape_base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 py3k.py:1(<module>)
