         291952 function calls (282739 primitive calls) in 12.356 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    210/1    0.001    0.000   12.356   12.356 {built-in method builtins.exec}
        1    0.000    0.000   12.356   12.356 transforma.py:1(<module>)
        1    0.010    0.010   11.548   11.548 interp.py:23(__call__)
        1    1.026    1.026   11.538   11.538 interp.py:168(lagrange)
        4    4.176    1.044   10.299    2.575 interp.py:178(L)
       16    5.998    0.375    5.998    0.375 idx.py:75(acesso)
        1    0.000    0.000    0.458    0.458 inout.py:77(imgwrite)
        1    0.458    0.458    0.458    0.458 {imwrite}
       30    0.003    0.000    0.334    0.011 __init__.py:1(<module>)
    272/7    0.003    0.000    0.182    0.026 <frozen importlib._bootstrap>:1349(_find_and_load)
    269/7    0.001    0.000    0.182    0.026 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    255/8    0.000    0.000    0.182    0.023 <frozen importlib._bootstrap>:911(_load_unlocked)
    206/8    0.000    0.000    0.181    0.023 <frozen importlib._bootstrap_external>:1020(exec_module)
   607/15    0.000    0.000    0.181    0.012 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        5    0.160    0.032    0.160    0.032 shape_base.py:377(stack)
        1    0.002    0.002    0.141    0.141 transforma.py:60(transformacao)
        1    0.113    0.113    0.135    0.135 interp.py:61(asimg)
   386/16    0.002    0.000    0.127    0.008 {built-in method builtins.__import__}
   272/53    0.000    0.000    0.126    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.100    0.100 args.py:1(<module>)
        8    0.038    0.005    0.097    0.012 idx.py:39(aplica)
        1    0.052    0.052    0.078    0.078 interp.py:77(modf)
        1    0.000    0.000    0.077    0.077 tipos.py:1(<module>)
        8    0.059    0.007    0.059    0.007 numeric.py:990(tensordot)
       61    0.048    0.001    0.048    0.001 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.042    0.042 rcsetup.py:1(<module>)
        1    0.000    0.000    0.042    0.042 idx.py:9(indices)
        1    0.000    0.000    0.040    0.040 __config__.py:1(<module>)
  255/246    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    27/24    0.000    0.000    0.030    0.001 <frozen importlib._bootstrap_external>:1318(create_module)
    27/24    0.025    0.001    0.030    0.001 {built-in method _imp.create_dynamic}
  647/582    0.008    0.000    0.029    0.000 {built-in method builtins.__build_class__}
      206    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.026    0.026 args.py:22(parse_intermixed_args)
        1    0.000    0.000    0.026    0.026 argparse.py:2451(parse_intermixed_args)
        1    0.000    0.000    0.026    0.026 argparse.py:2461(parse_known_intermixed_args)
        1    0.000    0.000    0.026    0.026 argparse.py:1901(_parse_known_args2)
        1    0.000    0.000    0.026    0.026 argparse.py:1939(_parse_known_args)
        7    0.000    0.000    0.025    0.004 argparse.py:1987(take_action)
        7    0.000    0.000    0.025    0.004 argparse.py:2482(_get_values)
        7    0.000    0.000    0.025    0.004 argparse.py:2533(_get_value)
        1    0.000    0.000    0.025    0.025 argparse.py:2111(consume_positionals)
        1    0.000    0.000    0.025    0.025 args.py:50(imagem)
        1    0.000    0.000    0.025    0.025 inout.py:41(decode)
        1    0.025    0.025    0.025    0.025 {imdecode}
        1    0.000    0.000    0.021    0.021 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.020    0.020 inout.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.020    0.020 __init__.py:68(bootstrap)
       29    0.000    0.000    0.019    0.001 __init__.py:71(import_module)
       29    0.000    0.000    0.019    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.019    0.019 colors.py:1(<module>)
      206    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
        1    0.000    0.000    0.018    0.018 defmatrix.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _linalg.py:1(<module>)
      206    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.014    0.007 multiarray.py:1(<module>)
  404/336    0.000    0.000    0.013    0.000 typing.py:426(inner)
        1    0.000    0.000    0.012    0.012 overrides.py:1(<module>)
      267    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.011    0.011 cm.py:1(<module>)
        1    0.000    0.000    0.011    0.011 numeric.py:1(<module>)
      286    0.000    0.000    0.011    0.000 __init__.py:330(_compile)
        2    0.001    0.000    0.010    0.005 __init__.py:884(_rc_params_in_file)
       81    0.000    0.000    0.010    0.000 _compiler.py:743(compile)
      262    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
        2    0.000    0.000    0.009    0.005 core.py:1(<module>)
      262    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       62    0.000    0.000    0.008    0.000 __init__.py:287(compile)
        1    0.000    0.000    0.008    0.008 Image.py:1(<module>)
      465    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      582    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:304(acquire)
      320    0.000    0.000    0.008    0.000 __init__.py:748(__setitem__)
       41    0.007    0.000    0.008    0.000 numeric.py:144(ones)
      265    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
      582    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:162(__enter__)
      281    0.001    0.000    0.006    0.000 typing.py:1423(__init__)
        1    0.000    0.000    0.005    0.005 _dtype_like.py:1(<module>)
       81    0.000    0.000    0.005    0.000 _parser.py:970(parse)
        1    0.000    0.000    0.005    0.005 shape_base.py:1(<module>)
  129/121    0.000    0.000    0.005    0.000 typing.py:574(__getitem__)
      582    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.005    0.005 npyio.py:1(<module>)
   188/81    0.000    0.000    0.005    0.000 _parser.py:451(_parse_sub)
      121    0.000    0.000    0.005    0.000 typing.py:753(Union)
2787/2352    0.001    0.000    0.005    0.000 {built-in method __new__ of type object at 0x76d1ac2d7380}
  260/106    0.002    0.000    0.005    0.000 _parser.py:511(_parse)
       25    0.000    0.000    0.005    0.000 enum.py:498(__new__)
      313    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.005    0.005 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
       27    0.001    0.000    0.005    0.000 __init__.py:358(namedtuple)
        1    0.000    0.000    0.005    0.005 ExifTags.py:1(<module>)
        1    0.000    0.000    0.005    0.005 common.py:1(<module>)
      269    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.004    0.004 common.py:8(pyparsing_common)
        1    0.000    0.000    0.004    0.004 colorizer.py:1(<module>)
      206    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
    29320    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
       84    0.000    0.000    0.004    0.000 colors.py:278(to_rgba)
       47    0.000    0.000    0.004    0.000 rcsetup.py:332(validate_color)
       31    0.004    0.000    0.004    0.000 {built-in method builtins.eval}
       50    0.000    0.000    0.004    0.000 colors.py:224(is_color_like)
    10895    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
       61    0.000    0.000    0.004    0.000 colors.py:325(_to_rgba_no_colorcycle)
       58    0.000    0.000    0.004    0.000 typing.py:1446(__or__)
        1    0.000    0.000    0.004    0.004 format.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _char_codes.py:1(<module>)
       39    0.000    0.000    0.004    0.000 typing.py:580(__getitem__)
       81    0.000    0.000    0.004    0.000 _compiler.py:576(_code)
        1    0.000    0.000    0.004    0.004 _methods.py:1(<module>)
       39    0.000    0.000    0.004    0.000 typing.py:812(Literal)
        1    0.000    0.000    0.004    0.004 cm.py:32(_gen_cmap_registry)
        1    0.000    0.000    0.004    0.004 _internal.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _utils_impl.py:1(<module>)
       23    0.000    0.000    0.004    0.000 __init__.py:23(__load_extra_py_code_for_module)
      230    0.002    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
        1    0.000    0.000    0.004    0.004 helpers.py:1(<module>)
        2    0.000    0.000    0.004    0.002 artist.py:158(_update_set_signature_and_docstring)
        1    0.000    0.000    0.004    0.004 __init__.py:326(__getattr__)
      435    0.002    0.000    0.004    0.000 enum.py:251(__set_name__)
      311    0.000    0.000    0.003    0.000 function_base.py:505(add_newdoc)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
      382    0.001    0.000    0.003    0.000 functools.py:36(update_wrapper)
        1    0.000    0.000    0.003    0.003 platform.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
        1    0.000    0.000    0.003    0.003 scale.py:1(<module>)
     1145    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
   450/81    0.001    0.000    0.003    0.000 _compiler.py:37(_compile)
      286    0.001    0.000    0.003    0.000 typing.py:260(_collect_type_parameters)
     1197    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.003    0.003 artist.py:1(<module>)
       46    0.000    0.000    0.003    0.000 core.py:3146(mayReturnEmpty)
    48/27    0.000    0.000    0.003    0.000 functools.py:1026(__get__)
    42/21    0.000    0.000    0.003    0.000 core.py:3119(re)
       64    0.000    0.000    0.003    0.000 core.py:1449(__add__)
        1    0.000    0.000    0.003    0.003 __init__.py:245(_check_versions)
        1    0.000    0.000    0.003    0.003 _array_like.py:1(<module>)
        7    0.000    0.000    0.003    0.000 rcsetup.py:426(validate_font_properties)
        6    0.000    0.000    0.003    0.000 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
       65    0.000    0.000    0.003    0.000 core.py:4081(__init__)
      255    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        2    0.000    0.000    0.002    0.001 artist.py:1832(kwdoc)
        1    0.000    0.000    0.002    0.002 ticker.py:1(<module>)
      412    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      311    0.000    0.000    0.002    0.000 function_base.py:491(_add_docstring)
        2    0.000    0.000    0.002    0.001 artist.py:1593(pprint_setters)
     2557    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      582    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:79(__init__)
       39    0.002    0.000    0.002    0.000 typing.py:395(_flatten_literal_params)
        1    0.000    0.000    0.002    0.002 PngImagePlugin.py:1(<module>)
       23    0.000    0.000    0.002    0.000 overrides.py:177(decorator)
        8    0.000    0.000    0.002    0.000 core.py:5842(__init__)
      311    0.002    0.000    0.002    0.000 function_base.py:473(_needs_add_docstring)
       44    0.000    0.000    0.002    0.000 artist.py:1461(get_valid_values)
       67    0.002    0.000    0.002    0.000 colors.py:1134(reversed)
     28/7    0.000    0.000    0.002    0.000 core.py:4715(leave_whitespace)
      560    0.001    0.000    0.002    0.000 enum.py:354(__setitem__)
        4    0.000    0.000    0.002    0.001 version.py:1(<module>)
      207    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.002    0.001 exceptions.py:1(<module>)
      443    0.000    0.000    0.002    0.000 core.py:526(copy)
       39    0.000    0.000    0.002    0.000 colors.py:1081(from_list)
    45/12    0.000    0.000    0.002    0.000 typing.py:1452(__getitem__)
      174    0.000    0.000    0.002    0.000 {built-in method builtins.all}
       16    0.000    0.000    0.002    0.000 typing.py:2998(__new__)
      444    0.001    0.000    0.002    0.000 copy.py:62(copy)
       92    0.000    0.000    0.002    0.000 inspect.py:3342(signature)
       92    0.000    0.000    0.002    0.000 inspect.py:3066(from_callable)
      502    0.001    0.000    0.002    0.000 typing.py:173(_type_check)
     59/7    0.000    0.000    0.002    0.000 core.py:3923(leave_whitespace)
       64    0.000    0.000    0.002    0.000 util.py:401(replaced_by_pep8)
    96/92    0.000    0.000    0.002    0.000 inspect.py:2477(_signature_from_callable)
       84    0.000    0.000    0.002    0.000 core.py:4109(<genexpr>)
      206    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
   129/61    0.000    0.000    0.002    0.000 core.py:4015(copy)
        1    0.000    0.000    0.002    0.002 _fontconfig_pattern.py:55(_make_fontconfig_parser)
      439    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
     1902    0.001    0.000    0.002    0.000 typing.py:1368(__setattr__)
        8    0.000    0.000    0.002    0.000 core.py:1152(parse_string)
     1181    0.000    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
      233    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
     7255    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      183    0.000    0.000    0.002    0.000 {built-in method builtins.any}
       37    0.000    0.000    0.002    0.000 __init__.py:174(search)
      140    0.001    0.000    0.002    0.000 inspect.py:891(cleandoc)
       24    0.001    0.000    0.001    0.000 util.py:210(_collapse_string_to_ranges)
     1181    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        7    0.000    0.000    0.001    0.000 core.py:2833(__init__)
       15    0.000    0.000    0.001    0.000 core.py:1601(__or__)
       16    0.000    0.000    0.001    0.000 typing.py:2979(_make_nmtuple)
       15    0.000    0.000    0.001    0.000 core.py:4399(__init__)
      411    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.001    0.001 version.py:161(Version)
      451    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 transforms.py:1(<module>)
17036/16544    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     6271    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 shutil.py:1(<module>)
 1669/180    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
 1669/180    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      509    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
       92    0.000    0.000    0.001    0.000 inspect.py:2373(_signature_from_function)
      389    0.000    0.000    0.001    0.000 enum.py:695(__call__)
     2945    0.001    0.000    0.001    0.000 typing.py:1294(_is_dunder)
       43    0.000    0.000    0.001    0.000 core.py:4404(<genexpr>)
      548    0.001    0.000    0.001    0.000 typing.py:1813(__hash__)
    45/12    0.000    0.000    0.001    0.000 typing.py:1483(_determine_new_args)
     1328    0.000    0.000    0.001    0.000 typing.py:1122(_is_unpacked_typevartuple)
    11877    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 _local.py:1(<module>)
      281    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
    45/12    0.000    0.000    0.001    0.000 typing.py:1512(_make_substitution)
        1    0.000    0.000    0.001    0.001 artist.py:125(__init_subclass__)
      140    0.001    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.001    0.001 ExifTags.py:21(Base)
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
      582    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      435    0.000    0.000    0.001    0.000 enum.py:1055(_add_member_)
      121    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
        4    0.000    0.000    0.001    0.000 enum.py:838(_create_)
      411    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
